Customer ID,Customer Name,Prospect,Inactive,Bill to Contact First Name,Bill to Contact Last Name,Bill to Address-Line One,Bill to Address-Line Two,Bill to City,Bill to State,Bill to Zip,Bill to Country,Bill to Sales Tax ID,Ship to Address 1-Line One,Ship to Address 1-Line Two,Ship to City 1,Ship to State 1,Ship to Zipcode 1,Ship to Country 1,Ship to Sales Tax ID 1,Customer Type,Telephone 1,Telephone 2,Fax Number,Customer E-mail,Sales Representative ID,Account #,G/L Sales Account,Open Purchase Order Number,Ship Via,Resale Number,Pricing Level,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Credit Status,Charge Finance Charges,Due Month End Terms,Cardholder's Name,Credit Card Address Line 1,Credit Card Address Line 2,Credit Card City,Credit Card State,Credit Card Zip Code,Credit Card Country,Credit Card Stored Reference,Merchant ID,Last Known CC Number,Last Known CC Expiration Date,Use Receipt Settings,Customer Payment Method,Customer Cash Account,Sales Contact,Lawn Care Srvc?,Monthly Service?,Qtrly Mailing?,Referral,Customer Since Date,Last Statement Date,Customer Web Site,ID Replacement
GORDON,Gordon Park & Recreation Center,FALSE,FALSE,Kathryn,Gordon,4318 Simms Rd,,Norcross,GA,30093,,GAGWINN,4318 Simms Rd,,Norcross,GA,30093,,GAGWINN,LAND,770-555-0014,770-555-0015,770-555-0016,kgordon@sample.sage.com,LSWEET,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Kathryn Gordon,4318 Simms Rd,,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Maryanne,Yes,Yes,Yes,Billboard,3/15/12,,www.sage50accounting.com,0
HENTON,Henton Park Apartments,FALSE,FALSE,Jacob,Henton,15560 Harrison Road,,Atlanta,GA,30344,,GADEKALB,15560 Harrison Road,,Atlanta,GA,30344,,GADEKALB,LAND,404-555-2025,404-555-2026,404-555-2027,jhenton@sample.sage.com,MCHAMBERLIN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Susan Petra,Yes,Yes,Yes,Mailing,1/11/08,3/15/12,www.sage50accounting.com,0
HOLLAND,"Holland Properties, Inc.",FALSE,FALSE,Jamie,Holland,1577 Johnson Ferry Road,,Marietta,GA,30062,,GACOBB,1577 Johnson Ferry Road,,Marietta,GA,30062,,GACOBB,LAND,770-555-9927,770-555-9928,770-555-9929,jholland@sample.sage.com,SPRICHARD,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Ken McDaniels,Yes,Yes,Yes,Yellow Pages,1/11/08,2/15/12,www.sage50accounting.com,0
KENTON,Kenton Golf and Tennis Center,FALSE,FALSE,Kevin,Kenton,1969 Fort Solitude Circle,,Centerville,GA,31028,,GAFULTON,1969 Fort Solitude Circle,,Centerville,GA,31028,,GAFULTON,LAND,770-555-4469,770-555-4470,770-555-4471,kkenton@sample.sage.com,MMULHERN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Karlton Kramer,Yes,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
KNIGHT,Knight Brothers Nurseries,FALSE,FALSE,Brian,Knight,5682 Main Street,,Alpharetta,GA,30004,USA,GAFULTON,,,,,,,,,770 555-6772,,,bknight@sample.sage.com,MMULHERN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,George Knight,,,,,3/15/16,,,0
MASON,Mason Office Park,FALSE,FALSE,Troy,Mason,4501 Peachtree Industrial,,Chamblee,GA,30329,,GADEKALB,4501 Peachtree Industrial,,Chamblee,GA,30329,,GADEKALB,LAND,770-555-3311,770-555-3312,770-555-3313,tmason@sample.sage.com,DBECK,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Cathy Frommer,Yes,Yes,Yes,Yellow Pages,1/11/08,,www.sage50accounting.com,0
MCKAY,McKay Construction,FALSE,FALSE,Nicole,McKay,4556 Piedmont Road,,Atlanta,GA,30344,,GAFULTON,4556 Piedmont Road,,Atlanta,GA,30344,,GAFULTON,LAND,404-555-4225,404-555-4226,404-555-4227,mmckay@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Barry Gentry,Yes,No,Yes,Employee: Mitchell Tamburrino,1/11/08,3/15/12,www.sage50accounting.com,0
MOSLEY,Mosley Country Club,FALSE,FALSE,Sam,Mosley,1 Howell Walk,,Duluth,GA,30096,,GAGWINN,1 Howell Walk,,Duluth,GA,30096,,GAGWINN,LAND,770-555-6948,770-555-6949,770-555-6950,smosley@sample.sage.com,SPRICHARD,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Jack Cardona,Yes,Yes,Yes,Internet,1/11/08,2/15/12,www.sage50accounting.com,0
PIERCE,"Pierce Properties, Inc.",FALSE,FALSE,David,Pierce,313 Abbots Bridge Rd,,Norcross,GA,30093,,GAGWINN,313 Abbots Bridge Rd,,Norcross,GA,30093,,GAGWINN,LAND,770-555-3765,770-555-3766,770-555-3767,dpearce@sample.sage.com,BNUNNLEY,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,David Pierce,313 Abbots Bridge Rd,,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Amy,Yes,Yes,No,Internet,3/15/12,,www.sage50accounting.com,0
RETAIL,Retail (Cash) Sales,FALSE,FALSE,Walk-in,Customers,,,,,,,,,,,,,,,RETAIL,,,,,,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,,,,,,1/11/08,3/15/12,,0
ROBERTS,Roberts Learning Centers,FALSE,FALSE,Sabrina,Roberts,573 Crestview Lane,,Norcross,GA,30092,,GAGWINN,573 Crestview Lane,,Norcross,GA,30092,,GAGWINN,LAND,770-555-6178,770-555-6179,770-555-5180,sroberts@sample.sage.com,MCHAMBERLIN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Sabrina Roberts,573 Crestview Lane,,Norcross,GA,30092,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Zachary,Yes,Yes,Yes,Internet,3/15/12,,www.sage50accounting.com,0
ROSE,Rose University,FALSE,FALSE,Kelly,Rose,4444 Peachtree Road NE,,Atlanta,GA,30333,,GAFULTON,4444 Peachtree Road NE,,Atlanta,GA,30333,,GAFULTON,LAND,404-555-7202,404-555-7203,404-555-7204,krose@sample.sage.com,LSWEET,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Kelly Rose,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Kay Robinson,Yes,No,Yes,Employee: Steve Barton,1/11/08,,www.sage50accounting.com,0
SAIA,Saia's Neighborhood Nursery,FALSE,FALSE,Regina,Saia,8520 Ronald Reagan Pkwy,,Norcross,GA,30093,,GAGWINN,8520 Ronald Reagan Pkwy,,Norcross,GA,30093,,GAGWINN,LAND,770-555-1684,770-555-1685,770-555-1686,rsaia@sample.sage.com,DBECK,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Regina Saia,8520 Ronald Reagan Pkwy,,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,,Yes,No,No,Internet,3/15/12,,www.sage50accounting.com,0
SEAWRIGHT,Seawright Sod and Lawn Care,FALSE,FALSE,Mason,Seawright,1505 Ponce De Leon,,Decatur,GA,30311,,GADEKALB,1505 Ponce De Leon,,Decatur,GA,30311,,GADEKALB,LAND,404-555-2246,404-555-2247,404-555-2248,mseawright@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Mason Seawright,1505 Ponce De Leon,,Decatur,GA,30311,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Mary Lynne McKinley,Yes,No,Yes,Magazine Ad,1/11/08,,www.sage50accounting.com,0
SMITH,Smith Family Garden Center,FALSE,FALSE,Mindy,Smith,5432 Peachtree Road,,Atlanta,GA,30025,,GAFULTON,5432 Peachtree Road,,Atlanta,GA,30025,,GAFULTON,LAND,404-555-7791,404-555-7792,404-555-7793,msmith@sample.sage.com,DGROSS,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Camille Smith,Yes,Yes,Yes,Internet,1/11/08,2/15/12,www.sage50accounting.com,0
SNOWDEN,Snowden Interior Design,FALSE,FALSE,Catherine,Snowden,1890 Singleton Road,,Norcross,GA,30093,,GAGWINN,1890 Singleton Road,,Norcross,GA,30093,,GAGWINN,LAND,770-555-1005,770-555-1006,770-555-1007,csnowden@sample.sage.com,SPRICHARD,,40000-00,213456,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Catherine Snowden,1890 Singleton Road,,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Charlie Snowden,Yes,Yes,Yes,Internet,1/11/08,2/15/12,www.sage50accounting.com,0
SNYDER,Snyder Securities,FALSE,FALSE,Troy,Snyder,9826 Brownsville Rd,,Duluth,GA,30092,,GAGWINN,9826 Brownsville Rd,,Duluth,GA,30092,,GAGWINN,LAND,770-555-3524,770-555-3525,770-555-3526,tsnyder@sample.sage.com,MMULHERN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Troy Snyder,9826 Brownsville Rd,,Duluth,GA,30092,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Chevaughn,Yes,No,Yes,Mailing,3/15/12,,www.sage50accounting.com,0
STEVENSON,"Stevenson Leasing, Inc.",FALSE,FALSE,Marsha,Stevenson,13554 Lawrenceville Hwy.,,Lilburn,GA,30095-1120,,GAGWINN,13554 Lawrenceville Hwy.,,Lilburn,GA,30095-1120,,GAGWINN,LAND,770-555-8848,770-555-8849,770-555-8850,mstevenson@sample.sage.com,MMULHERN,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Larry McDaniels,Yes,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
TACOMA,Tacoma Park Golf Course,FALSE,FALSE,Laney,Aaron,3545 The Experience Boulevard,,Duluth,GA,30029,,GAGWINN,3545 The Experience Boulevard,,Duluth,GA,30029,,GAGWINN,LAND,770-555-7388,770-555-7389,770-555-7390,laaron@sample.sage.com,DBECK,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Alison Costello,Yes,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
TEESDALE,Teesdale Real Estate,FALSE,FALSE,Wade,Teesdale,4555 Indian Lake Lane,,Marietta,GA,30069,,GACOBB,4555 Indian Lake Lane,,Marietta,GA,30069,,GACOBB,LAND,770-555-6488,770-555-6489,770-555-6490,wteesdale@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Ward Thomason,Yes,No,Yes,Magazine Ad,1/11/08,3/15/12,www.sage50accounting.com,0
THURMAN,Thurman Golf Course Design,FALSE,FALSE,Briana,Thurman,3501 Northside Drive,,Atlanta,GA,30333,,GAFULTON,3501 Northside Drive,,Atlanta,GA,30333,,GAFULTON,LAND,770-555-4029,770-555-4030,770-555-4031,bthurman@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Buddy Thompson,No,No,Yes,Internet,1/11/08,,www.sage50accounting.com,0
TRENT,Trent Bank and Trust,FALSE,FALSE,Barton,Trent,76 Myrtle Street,,Atlanta,GA,30319,,GAFULTON,76 Myrtle Street,,Atlanta,GA,30319,,GAFULTON,LAND,770-555-3994,770-555-3995,770-555-3996,btrent@sample.sage.com,LSWEET,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Barton Trent,76 Myrtle Street,,Atlanta,GA,30319,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Stephanie,Yes,Yes,Yes,Internet,3/15/12,,www.sage50accounting.com,0
WILLIAMS,Williams Industries,FALSE,FALSE,Cindy,Williams,4552 Peachtree Industrial Blvd,,Chamblee,GA,30329,,GADEKALB,4552 Peachtree Industrial Blvd,,Chamblee,GA,30329,,GADEKALB,LAND,770-555-8882,770-555-8883,770-555-8884,cwilliams@sample.sage.com,SPRICHARD,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Carolyn Weeks,Yes,Yes,Yes,Customer:  Sharp Business Systems,1/11/08,2/15/12,www.sage50accounting.com,0
